"Agency","1996-97  Actuals","Fund Type","2011-12  Actuals","1998-99  Actuals","2006-07  Actuals","2010-11  Actuals","Function","2013-14  Actuals","FP Category","2003-04  Actuals","2009-10  Actuals","2007-08  Actuals","2018-19  Actuals","Fund","2019-20  Estimates","2000-01  Actuals","2005-06  Actuals","Subfund Name","2008-09  Actuals","2017-18  Actuals","2002-03  Actuals","1999-00  Actuals","2001-02  Actuals","Subfund","2015-16  Actuals","2012-13  Actuals","1995-96  Actuals","1994-95  Actuals","2014-15  Actuals","1997-98  Actuals","2004-05  Actuals","2016-17  Actuals"
"Agriculture and Markets, Department of","0.0","General Fund","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Non-Personal Service","0.0","0.0","0.0","0.0","Community Projects Fund","0.0","0.0","0.0","Comm Proj CC","0.0","0.0","0.0","25000.0","0.0","10253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","0.0","General Fund","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Personal Service","0.0","0.0","0.0","0.0","Community Projects Fund","0.0","0.0","0.0","Comm Proj CC","0.0","0.0","0.0","142000.0","0.0","10253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","0.0","General Fund","11000.0","0.0","0.0","7000.0","Economic Development and Government Oversight","0.0","Grants to Local Gov.","6000.0","90000.0","35000.0","0.0","Community Projects Fund","0.0","77000.0","18000.0","Comm Proj EE","83000.0","3000.0","8000.0","0.0","19000.0","10255","3000.0","6000.0","0.0","0.0","0.0","0.0","7000.0","8000.0"
"Agriculture and Markets, Department of","0.0","General Fund","9000.0","0.0","122000.0","0.0","Economic Development and Government Oversight","0.0","Grants to Local Gov.","320000.0","0.0","99000.0","0.0","Community Projects Fund","0.0","0.0","299000.0","Comm Proj GG","32000.0","0.0","1000.0","0.0","22000.0","10256","0.0","1000.0","0.0","0.0","0.0","0.0","298000.0","0.0"
"Agriculture and Markets, Department of","8562000.0","General Fund","24446000.0","11515000.0","18589000.0","14448000.0","Economic Development and Government Oversight","21151000.0","Grants to Local Gov.","13579000.0","25653000.0","28175000.0","32987000.0","Local Assistance Account","32932000.0","13561000.0","14292000.0","Local Assistnce","25872000.0","32275000.0","13151000.0","13161000.0","13168000.0","10000","27218000.0","19329000.0","13191000.0","13764000.0","25233000.0","10269000.0","13115000.0","31844000.0"
"Agriculture and Markets, Department of","4351000.0","General Fund","7599000.0","6054000.0","12865000.0","6208000.0","Economic Development and Government Oversight","7315000.0","Non-Personal Service","6581000.0","8060000.0","11500000.0","5245000.0","State Operations Account","6503000.0","7221000.0","9495000.0","State Purposes","12151000.0","4893000.0","6757000.0","5651000.0","7458000.0","10050","7414000.0","6331000.0","4271000.0","5871000.0","7392000.0","4873000.0","8934000.0","5492000.0"
"Agriculture and Markets, Department of","14104000.0","General Fund","18509000.0","15392000.0","22052000.0","21529000.0","Economic Development and Government Oversight","24433000.0","Personal Service","19646000.0","23245000.0","23060000.0","27105000.0","State Operations Account","28413000.0","17590000.0","21841000.0","State Purposes","24685000.0","28155000.0","18752000.0","15404000.0","19112000.0","10050","25269000.0","23878000.0","15246000.0","16788000.0","25828000.0","14220000.0","20335000.0","27374000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Federal","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Non-Personal Service","0.0","0.0","0.0","0.0","Federal Block Grants Fund","0.0","0.0","0.0","HHS Block Grant","0.0","0.0","0.0","0.0","0.0","25250","0.0","0.0","30000.0","30000.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","19000.0","Special Revenue Funds - Federal","90000.0","14000.0","53000.0","94000.0","Economic Development and Government Oversight","165000.0","Fringe Benefits","3000.0","83000.0","44000.0","413000.0","Federal Health and Human Services Fund","414000.0","9000.0","13000.0","Federal HHS","57000.0","141000.0","7000.0","13000.0","25000.0","25100","122000.0","9000.0","20000.0","-7000.0","245000.0","26000.0","18000.0","130000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Federal","8000.0","0.0","3000.0","7000.0","Economic Development and Government Oversight","9000.0","Indirect Costs","0.0","11000.0","7000.0","245000.0","Federal Health and Human Services Fund","56000.0","11000.0","2000.0","Federal HHS","10000.0","62000.0","2000.0","0.0","0.0","25100","12000.0","1000.0","0.0","0.0","24000.0","0.0","4000.0","9000.0"
"Agriculture and Markets, Department of","48000.0","Special Revenue Funds - Federal","194000.0","83000.0","430000.0","88000.0","Economic Development and Government Oversight","66000.0","Non-Personal Service","31000.0","38000.0","152000.0","585000.0","Federal Health and Human Services Fund","188000.0","37000.0","103000.0","Federal HHS","98000.0","195000.0","56000.0","40000.0","158000.0","25100","27000.0","207000.0","208000.0","17000.0","48000.0","30000.0","58000.0","16000.0"
"Agriculture and Markets, Department of","63000.0","Special Revenue Funds - Federal","229000.0","57000.0","125000.0","192000.0","Economic Development and Government Oversight","260000.0","Personal Service","32000.0","175000.0","141000.0","493000.0","Federal Health and Human Services Fund","679000.0","39000.0","44000.0","Federal HHS","129000.0","393000.0","23000.0","40000.0","46000.0","25100","229000.0","263000.0","70000.0","70000.0","234000.0","73000.0","36000.0","258000.0"
"Agriculture and Markets, Department of","224000.0","Special Revenue Funds - Federal","0.0","200000.0","1082000.0","0.0","Economic Development and Government Oversight","0.0","Fringe Benefits","398000.0","50000.0","826000.0","51000.0","Federal Miscellaneous Operating Grants Fund","0.0","209000.0","501000.0","Fed Oper Grant","617000.0","0.0","158000.0","251000.0","278000.0","25300","0.0","0.0","206000.0","208000.0","0.0","260000.0","519000.0","30000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Federal","0.0","0.0","1936000.0","0.0","Economic Development and Government Oversight","0.0","Grants to Local Gov.","1370000.0","0.0","212000.0","0.0","Federal Miscellaneous Operating Grants Fund","0.0","503000.0","889000.0","Fed Oper Grant","0.0","0.0","9763000.0","0.0","221000.0","25300","0.0","0.0","0.0","0.0","0.0","0.0","240000.0","0.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Federal","0.0","0.0","62000.0","0.0","Economic Development and Government Oversight","0.0","Indirect Costs","178000.0","7000.0","113000.0","20000.0","Federal Miscellaneous Operating Grants Fund","0.0","7000.0","51000.0","Fed Oper Grant","120000.0","0.0","53000.0","0.0","0.0","25300","0.0","0.0","0.0","0.0","0.0","0.0","165000.0","2000.0"
"Agriculture and Markets, Department of","1223000.0","Special Revenue Funds - Federal","56000.0","1899000.0","6299000.0","143000.0","Economic Development and Government Oversight","370000.0","Non-Personal Service","3197000.0","739000.0","4333000.0","177000.0","Federal Miscellaneous Operating Grants Fund","0.0","1874000.0","7146000.0","Fed Oper Grant","3674000.0","0.0","2882000.0","2420000.0","2825000.0","25300","0.0","44000.0","1956000.0","699000.0","0.0","1886000.0","3585000.0","54000.0"
"Agriculture and Markets, Department of","752000.0","Special Revenue Funds - Federal","0.0","843000.0","2460000.0","0.0","Economic Development and Government Oversight","0.0","Personal Service","936000.0","67000.0","1754000.0","81000.0","Federal Miscellaneous Operating Grants Fund","0.0","850000.0","1301000.0","Fed Oper Grant","1378000.0","0.0","1413000.0","791000.0","1005000.0","25300","32000.0","0.0","740000.0","706000.0","0.0","741000.0","888000.0","23000.0"
"Agriculture and Markets, Department of","8000.0","Special Revenue Funds - Federal","992000.0","14000.0","41000.0","906000.0","Economic Development and Government Oversight","1597000.0","Fringe Benefits","8000.0","710000.0","0.0","2305000.0","Federal USDA / Food and Nutrition Services Fund","1667000.0","8000.0","30000.0","Fed USDA/FNS","183000.0","1899000.0","6000.0","18000.0","14000.0","25000","1934000.0","1146000.0","14000.0","17000.0","1909000.0","9000.0","68000.0","1887000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Federal","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Grants to Local Gov.","0.0","0.0","0.0","18000.0","Federal USDA / Food and Nutrition Services Fund","0.0","0.0","0.0","Fed USDA/FNS","0.0","0.0","0.0","0.0","0.0","25000","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Federal","87000.0","0.0","3000.0","72000.0","Economic Development and Government Oversight","114000.0","Indirect Costs","1000.0","98000.0","0.0","1312000.0","Federal USDA / Food and Nutrition Services Fund","224000.0","101000.0","4000.0","Fed USDA/FNS","31000.0","226000.0","10000.0","0.0","0.0","25000","193000.0","68000.0","0.0","0.0","192000.0","0.0","27000.0","142000.0"
"Agriculture and Markets, Department of","1576000.0","Special Revenue Funds - Federal","8523000.0","2435000.0","4702000.0","9580000.0","Economic Development and Government Oversight","7255000.0","Non-Personal Service","4586000.0","7478000.0","4562000.0","9983000.0","Federal USDA / Food and Nutrition Services Fund","9348000.0","2622000.0","5334000.0","Fed USDA/FNS","6214000.0","9576000.0","4542000.0","2318000.0","4148000.0","25000","9057000.0","8459000.0","1710000.0","1132000.0","8442000.0","1520000.0","5270000.0","8403000.0"
"Agriculture and Markets, Department of","41000.0","Special Revenue Funds - Federal","2719000.0","60000.0","95000.0","2103000.0","Economic Development and Government Oversight","2660000.0","Personal Service","52000.0","1725000.0","7000.0","3154000.0","Federal USDA / Food and Nutrition Services Fund","2734000.0","60000.0","77000.0","Fed USDA/FNS","827000.0","3076000.0","49000.0","62000.0","55000.0","25000","3932000.0","2732000.0","30000.0","103000.0","3084000.0","36000.0","161000.0","3384000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Federal","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Non-Personal Service","0.0","8000.0","0.0","0.0","Federal USDA / Food and Nutrition Services Fund","0.0","0.0","0.0","Federal Stimulu","0.0","0.0","0.0","0.0","0.0","250FS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","367000.0","Special Revenue Funds - Other","0.0","200000.0","619000.0","640000.0","Economic Development and Government Oversight","275000.0","Fringe Benefits","251000.0","641000.0","382000.0","972000.0","Miscellaneous State Special Revenue","414000.0","225000.0","740000.0","Farm Prod Insp-","719000.0","457000.0","101000.0","182000.0","151000.0","21948","248000.0","317000.0","359000.0","218000.0","265000.0","191000.0","536000.0","327000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","5000.0","0.0","50000.0","62000.0","Economic Development and Government Oversight","8000.0","Indirect Costs","31000.0","57000.0","33000.0","18000.0","Miscellaneous State Special Revenue","22000.0","31000.0","62000.0","Farm Prod Insp-","64000.0","0.0","17000.0","0.0","0.0","21948","0.0","15000.0","0.0","0.0","14000.0","0.0","55000.0","3000.0"
"Agriculture and Markets, Department of","112000.0","Special Revenue Funds - Other","65000.0","41000.0","155000.0","160000.0","Economic Development and Government Oversight","125000.0","Non-Personal Service","104000.0","132000.0","224000.0","99000.0","Miscellaneous State Special Revenue","123000.0","51000.0","117000.0","Farm Prod Insp-","66000.0","122000.0","225000.0","197000.0","255000.0","21948","112000.0","159000.0","206000.0","103000.0","179000.0","41000.0","202000.0","134000.0"
"Agriculture and Markets, Department of","1090000.0","Special Revenue Funds - Other","1125000.0","924000.0","972000.0","1523000.0","Economic Development and Government Oversight","1170000.0","Personal Service","1181000.0","1717000.0","1191000.0","769000.0","Miscellaneous State Special Revenue","648000.0","839000.0","1328000.0","Farm Prod Insp-","1433000.0","749000.0","1204000.0","941000.0","983000.0","21948","551000.0","562000.0","1489000.0","1469000.0","649000.0","1205000.0","1282000.0","866000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Fringe Benefits","0.0","0.0","0.0","0.0","Miscellaneous State Special Revenue","0.0","0.0","0.0","FgrprintID&Tech","0.0","0.0","0.0","0.0","0.0","21950","0.0","0.0","31000.0","21000.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","8000.0","Special Revenue Funds - Other","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Non-Personal Service","0.0","0.0","0.0","0.0","Miscellaneous State Special Revenue","0.0","0.0","0.0","FgrprintID&Tech","0.0","0.0","0.0","0.0","0.0","21950","0.0","0.0","18000.0","20000.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","2000.0","Special Revenue Funds - Other","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Personal Service","0.0","0.0","0.0","0.0","Miscellaneous State Special Revenue","0.0","0.0","0.0","FgrprintID&Tech","0.0","0.0","0.0","0.0","0.0","21950","0.0","0.0","133000.0","91000.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","216000.0","Special Revenue Funds - Other","0.0","233000.0","908000.0","2570000.0","Economic Development and Government Oversight","0.0","Fringe Benefits","425000.0","2104000.0","1219000.0","0.0","Miscellaneous State Special Revenue","0.0","193000.0","817000.0","Cons Food Indus","1174000.0","0.0","46000.0","161000.0","121000.0","21966","0.0","361000.0","212000.0","180000.0","0.0","264000.0","790000.0","0.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","95000.0","0.0","74000.0","194000.0","Economic Development and Government Oversight","0.0","Indirect Costs","46000.0","176000.0","102000.0","0.0","Miscellaneous State Special Revenue","0.0","27000.0","71000.0","Cons Food Indus","110000.0","0.0","9000.0","0.0","0.0","21966","0.0","32000.0","0.0","0.0","0.0","0.0","77000.0","0.0"
"Agriculture and Markets, Department of","51000.0","Special Revenue Funds - Other","192000.0","36000.0","-94000.0","452000.0","Economic Development and Government Oversight","0.0","Non-Personal Service","288000.0","565000.0","470000.0","0.0","Miscellaneous State Special Revenue","0.0","5000.0","486000.0","Cons Food Indus","201000.0","0.0","506000.0","27000.0","32000.0","21966","0.0","-2000.0","16000.0","67000.0","0.0","38000.0","486000.0","0.0"
"Agriculture and Markets, Department of","698000.0","Special Revenue Funds - Other","4983000.0","775000.0","1948000.0","5181000.0","Economic Development and Government Oversight","0.0","Personal Service","1239000.0","5479000.0","2698000.0","0.0","Miscellaneous State Special Revenue","0.0","623000.0","1684000.0","Cons Food Indus","2865000.0","0.0","1489000.0","425000.0","373000.0","21966","0.0","612000.0","606000.0","684000.0","0.0","712000.0","1352000.0","0.0"
"Agriculture and Markets, Department of","373000.0","Special Revenue Funds - Other","636000.0","107000.0","793000.0","774000.0","Economic Development and Government Oversight","222000.0","Fringe Benefits","223000.0","1002000.0","653000.0","393000.0","Miscellaneous State Special Revenue","271000.0","243000.0","463000.0","A&M-Aggregated","559000.0","125000.0","203000.0","316000.0","-1000.0","219XX","290000.0","318000.0","300000.0","286000.0","280000.0","283000.0","485000.0","383000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","48000.0","0.0","55000.0","59000.0","Economic Development and Government Oversight","12000.0","Indirect Costs","32000.0","97000.0","57000.0","19000.0","Miscellaneous State Special Revenue","15000.0","34000.0","41000.0","A&M-Aggregated","51000.0","6000.0","12000.0","0.0","0.0","219XX","12000.0","21000.0","0.0","0.0","18000.0","0.0","35000.0","18000.0"
"Agriculture and Markets, Department of","10928000.0","Special Revenue Funds - Other","17322000.0","10617000.0","13520000.0","18482000.0","Economic Development and Government Oversight","15920000.0","Non-Personal Service","12051000.0","17561000.0","14002000.0","10000.0","Miscellaneous State Special Revenue","14000.0","11957000.0","13564000.0","A&M-Aggregated","15988000.0","11000.0","15072000.0","10508000.0","13922000.0","219XX","17460000.0","13437000.0","11767000.0","11046000.0","15151000.0","10449000.0","16002000.0","6247000.0"
"Agriculture and Markets, Department of","946000.0","Special Revenue Funds - Other","1362000.0","721000.0","1290000.0","1562000.0","Economic Development and Government Oversight","492000.0","Personal Service","535000.0","1980000.0","1486000.0","349000.0","Miscellaneous State Special Revenue","425000.0","682000.0","1217000.0","A&M-Aggregated","1556000.0","354000.0","1020000.0","869000.0","458000.0","219XX","547000.0","408000.0","1101000.0","1032000.0","409000.0","667000.0","833000.0","659000.0"
"Agriculture and Markets, Department of","4000.0","Special Revenue Funds - Other","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Fringe Benefits","0.0","0.0","0.0","0.0","Miscellaneous State Special Revenue","0.0","0.0","0.0","Milk Producers","0.0","0.0","0.0","0.0","0.0","219ZR","0.0","0.0","26000.0","29000.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","1000.0","Special Revenue Funds - Other","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Non-Personal Service","0.0","0.0","0.0","0.0","Miscellaneous State Special Revenue","0.0","0.0","0.0","Milk Producers","0.0","0.0","0.0","0.0","0.0","219ZR","0.0","0.0","5000.0","19000.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","4000.0","Special Revenue Funds - Other","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Personal Service","0.0","0.0","0.0","0.0","Miscellaneous State Special Revenue","0.0","0.0","0.0","Milk Producers","0.0","0.0","0.0","0.0","0.0","219ZR","0.0","0.0","71000.0","110000.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","55000.0","Special Revenue Funds - Other","0.0","34000.0","61000.0","0.0","Economic Development and Government Oversight","0.0","Fringe Benefits","35000.0","13000.0","63000.0","0.0","Miscellaneous State Special Revenue","163000.0","31000.0","78000.0","Public Service","68000.0","0.0","22000.0","36000.0","39000.0","22011","0.0","0.0","57000.0","0.0","0.0","47000.0","77000.0","0.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","0.0","0.0","5000.0","0.0","Economic Development and Government Oversight","0.0","Indirect Costs","4000.0","1000.0","5000.0","0.0","Miscellaneous State Special Revenue","9000.0","4000.0","7000.0","Public Service","5000.0","0.0","3000.0","0.0","0.0","22011","0.0","0.0","0.0","0.0","0.0","0.0","8000.0","0.0"
"Agriculture and Markets, Department of","32000.0","Special Revenue Funds - Other","0.0","27000.0","18000.0","0.0","Economic Development and Government Oversight","0.0","Non-Personal Service","4000.0","4000.0","29000.0","0.0","Miscellaneous State Special Revenue","20000.0","22000.0","6000.0","Public Service","22000.0","0.0","33000.0","25000.0","13000.0","22011","0.0","0.0","32000.0","0.0","0.0","25000.0","33000.0","0.0"
"Agriculture and Markets, Department of","165000.0","Special Revenue Funds - Other","0.0","126000.0","137000.0","0.0","Economic Development and Government Oversight","0.0","Personal Service","134000.0","0.0","136000.0","0.0","Miscellaneous State Special Revenue","255000.0","125000.0","141000.0","Public Service","145000.0","0.0","134000.0","114000.0","128000.0","22011","0.0","0.0","183000.0","0.0","0.0","113000.0","138000.0","0.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","19000.0","0.0","0.0","2000.0","Economic Development and Government Oversight","0.0","Non-Personal Service","0.0","1000.0","0.0","0.0","Miscellaneous State Special Revenue","0.0","0.0","0.0","Comm Feed Lic","1000.0","0.0","0.0","0.0","0.0","22020","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","0.0","0.0","0.0","0.0","Economic Development and Government Oversight","0.0","Grants to Local Gov.","1649000.0","0.0","0.0","0.0","Miscellaneous State Special Revenue","0.0","0.0","368000.0","Comm Svce Assis","45000.0","0.0","1138000.0","0.0","0.0","22025","0.0","0.0","0.0","0.0","0.0","0.0","1214000.0","0.0"
"Agriculture and Markets, Department of","24000.0","Special Revenue Funds - Other","169000.0","-2000.0","130000.0","162000.0","Economic Development and Government Oversight","108000.0","Fringe Benefits","7000.0","145000.0","105000.0","373000.0","Miscellaneous State Special Revenue","175000.0","12000.0","106000.0","Plant Industry","121000.0","34000.0","1000.0","4000.0","9000.0","22029","92000.0","184000.0","21000.0","15000.0","178000.0","17000.0","65000.0","185000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","13000.0","0.0","11000.0","13000.0","Economic Development and Government Oversight","6000.0","Indirect Costs","1000.0","13000.0","9000.0","21000.0","Miscellaneous State Special Revenue","9000.0","2000.0","9000.0","Plant Industry","12000.0","2000.0","0.0","0.0","0.0","22029","4000.0","8000.0","0.0","0.0","14000.0","0.0","6000.0","9000.0"
"Agriculture and Markets, Department of","3000.0","Special Revenue Funds - Other","0.0","1000.0","0.0","0.0","Economic Development and Government Oversight","0.0","Non-Personal Service","0.0","0.0","0.0","1000.0","Miscellaneous State Special Revenue","0.0","1000.0","0.0","Plant Industry","0.0","3000.0","-27000.0","1000.0","99000.0","22029","0.0","0.0","3000.0","3000.0","1000.0","102000.0","0.0","2000.0"
"Agriculture and Markets, Department of","68000.0","Special Revenue Funds - Other","350000.0","1000.0","280000.0","350000.0","Economic Development and Government Oversight","279000.0","Personal Service","55000.0","346000.0","234000.0","505000.0","Miscellaneous State Special Revenue","274000.0","23000.0","254000.0","Plant Industry","270000.0","110000.0","36000.0","14000.0","32000.0","22029","261000.0","258000.0","68000.0","67000.0","219000.0","30000.0","151000.0","288000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","0.0","14000.0","25000.0","0.0","Economic Development and Government Oversight","0.0","Fringe Benefits","20000.0","7000.0","49000.0","0.0","Miscellaneous State Special Revenue","0.0","25000.0","29000.0","Animal Populati","42000.0","0.0","20000.0","23000.0","35000.0","22118","0.0","0.0","0.0","0.0","0.0","13000.0","36000.0","0.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","0.0","0.0","2000.0","0.0","Economic Development and Government Oversight","0.0","Indirect Costs","3000.0","1000.0","4000.0","0.0","Miscellaneous State Special Revenue","0.0","4000.0","3000.0","Animal Populati","4000.0","0.0","3000.0","0.0","0.0","22118","0.0","0.0","0.0","0.0","0.0","0.0","4000.0","0.0"
"Agriculture and Markets, Department of","50000.0","Special Revenue Funds - Other","1459000.0","474000.0","419000.0","0.0","Economic Development and Government Oversight","867000.0","Non-Personal Service","210000.0","849000.0","930000.0","867000.0","Miscellaneous State Special Revenue","867000.0","425000.0","361000.0","Animal Populati","1094000.0","867000.0","273000.0","425000.0","381000.0","22118","850000.0","974000.0","0.0","0.0","684000.0","271000.0","290000.0","867000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","0.0","54000.0","67000.0","0.0","Economic Development and Government Oversight","0.0","Personal Service","62000.0","0.0","105000.0","0.0","Miscellaneous State Special Revenue","0.0","107000.0","44000.0","Animal Populati","84000.0","0.0","87000.0","74000.0","115000.0","22118","0.0","0.0","0.0","0.0","0.0","42000.0","69000.0","0.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","5000.0","0.0","0.0","24000.0","Economic Development and Government Oversight","0.0","Fringe Benefits","0.0","21000.0","0.0","56000.0","Miscellaneous State Special Revenue","0.0","0.0","0.0","Pet Dealer","10000.0","8000.0","0.0","0.0","0.0","22137","0.0","18000.0","0.0","0.0","0.0","0.0","0.0","14000.0"
"Agriculture and Markets, Department of","0.0","Special Revenue Funds - Other","1000.0","0.0","0.0","2000.0","Economic Development and Government Oversight","0.0","Indirect Costs","0.0","2000.0","0.0","3000.0","Miscellaneous State Special Revenue","0.0","0.0","0.0","Pet Dealer","1000.0","0.0","0.0","0.0","0.0","22137","0.0","1000.0","0.0","0.0","0.0","0.0","0.0","1000.0"
